bbticker,isin
1909315D IN Equity,INE488A01027
1958850D IN Equity,INE130C01039
2271068D IN Equity,INE968G01033
3M IN Equity,INE470A01017
63MOONS IN Equity,INE111B01023
ABAN IN Equity,INE421A01028
ABB IN Equity,INE117A01022
ABGS IN Equity,INE067H01016
ABNL IN Equity,INE069A01017
ABREL IN Equity,INE055A01016
JI IN Equity,INE175A01038
JKBK IN Equity,INE168A01041
JM IN Equity,INE780C01023
JPA IN Equity,INE455F01025
JSAW IN Equity,INE324A01032
JSP IN Equity,INE749A01030
JSTL IN Equity,INE019A01038
JSWI IN Equity,INE136A01022
JSWISPL IN Equity,INE743C01021
JTEKT IN Equity,INE643A01035
GEO IN Equity,INE797A01021
GEOFSL IN Equity,INE007B01023
GEPIL IN Equity,INE878A01011
GESCO IN Equity,INE017A01032
GETD IN Equity,INE200A01026
GEXP IN Equity,INE887G01027
GFLTD IN Equity,INE538A01037
GGAS IN Equity,INE374A01029
GHCL IN Equity,INE539A01019
GILL IN Equity,INE322A01010
AJP IN Equity,INE031B01049
AKOP IN Equity,INE523B01011
AKZO IN Equity,INE133A01011
AL IN Equity,INE208A01029
ALBC IN Equity,INE426A01027
ALBK IN Equity,INE428A01015
ALFA IN Equity,INE427A01017
ALOK IN Equity,INE270A01029
ANDB IN Equity,INE434A01013
APHS IN Equity,INE437A01024
CHMB IN Equity,INE085A01013
CHOLAHLD IN Equity,INE149A01033
CIFC IN Equity,INE121A01024
CIPLA IN Equity,INE059A01026
CIS IN Equity,INE198A01014
CLGT IN Equity,INE259A01022
CMC IN Equity,INE314A01017
COSMOFIR IN Equity,INE757A01017
CPBI IN Equity,INE348B01021
CRIN IN Equity,INE169A01031
GIP IN Equity,INE162A01010
GITG IN Equity,INE346H01014
GLXO IN Equity,INE159A01016
GMDC IN Equity,INE131A01031
GMON IN Equity,INE259B01020
GMRI IN Equity,INE776C01039
GNC IN Equity,INE110D01013
GNFC IN Equity,INE113A01013
GNP IN Equity,INE935A01035
GOFF IN Equity,INE892H01017
BOB IN Equity,INE028A01039
BOI IN Equity,INE084A01016
BOS IN Equity,INE323A01026
BPCL IN Equity,INE029A01011
BPL IN Equity,INE110A01019
BRCM IN Equity,INE119A01028
BRFL IN Equity,INE589G01011
BRGR IN Equity,INE463A01038
BRIT IN Equity,INE216A01030
BSOFT IN Equity,INE836A01035
MAXF IN Equity,INE180A01020
MBI IN Equity,INE739A01015
MCHM IN Equity,INE274B01011
MCLR IN Equity,INE942G01012
MHS IN Equity,INE271B01025
MINK IN Equity,INE056A01014
MIRC IN Equity,INE831A01028
MJS IN Equity,INE577A01027
MKTA IN Equity,INE374B01019
MM IN Equity,INE101A01026
ELDP IN Equity,INE975A01015
ELEQ IN Equity,INE285A01027
ELSC IN Equity,INE086A01029
EMBDL IN Equity,INE069I01010
ENGR IN Equity,INE510A01028
ENIL IN Equity,INE265F01028
EPLL IN Equity,INE255A01020
ERIE IN Equity,INE039E01020
ESAB IN Equity,INE284A01012
ESCORTS IN Equity,INE042A01014
JTI IN Equity,INE364A01020
JUBLPHAR IN Equity,INE700A01033
JYS IN Equity,INE197A01024
KASH IN Equity,INE350H01032
KBL IN Equity,INE614B01018
KCPL IN Equity,INE805C01028
KECI IN Equity,INE389H01022
KFL IN Equity,INE080B01012
KJC IN Equity,INE217B01036
KKB IN Equity,INE732A01036
HAVL IN Equity,INE176B01034
HCC IN Equity,INE549A01026
HCLI IN Equity,INE236A01020
HCLT IN Equity,INE860A01027
HDFC IN Equity,INE001A01036
HDFCB IN Equity,INE040A01034
HDIL IN Equity,INE191I01012
HEG IN Equity,INE545A01024
HEUBACHI IN Equity,INE492A01029
HEXW IN Equity,INE093A01033
DCMS IN Equity,INE499A01024
DCW IN Equity,INE500A01029
DECH IN Equity,INE137G01027
DFPC IN Equity,INE501A01019
DHANI IN Equity,INE274G01010
DISH IN Equity,INE353G01020
DIVI IN Equity,INE361B01024
DLFU IN Equity,INE271C01023
DNI IN Equity,INE668D01028
DRRD IN Equity,INE089A01031
LANCI IN Equity,INE785C01048
LICHF IN Equity,INE115A01026
LIIL IN Equity,INE473A01011
LKEF IN Equity,INE992B01026
LMW IN Equity,INE269B01029
LPC IN Equity,INE326A01037
LT IN Equity,INE018A01030
LVB IN Equity,INE694C01018
MAHLIFE IN Equity,INE813A01018
MAST IN Equity,INE759A01021
BBOX IN Equity,INE676A01027
BCORP IN Equity,INE340A01012
BD IN Equity,INE032A01023
BDE IN Equity,INE233B01017
BEML IN Equity,INE258A01016
BEPL IN Equity,INE922A01025
BHARTI IN Equity,INE397D01024
BHE IN Equity,INE263A01024
BHEL IN Equity,INE257A01026
BHFC IN Equity,INE465A01025
HSBI IN Equity,INE800B01013
HSS IN Equity,INE049A01027
HTFL IN Equity,INE978A01027
HTML IN Equity,INE501G01024
HUB IN Equity,INE703H01016
HUIN IN Equity,INE275B01026
HUVR IN Equity,INE030A01027
HWA IN Equity,INE671A01010
HZ IN Equity,INE267A01025
IBULL IN Equity,INE894F01025
IRS IN Equity,INE156A01020
ISL IN Equity,INE915B01019
ITC IN Equity,INE154A01025
IVRC IN Equity,INE875A01025
JAGP IN Equity,INE199G01027
JBCP IN Equity,INE572A01036
JDPF IN Equity,INE197D01010
JDSL IN Equity,INE220G01021
JETIN IN Equity,INE802G01018
JFI IN Equity,INE070D01027
CRISIL IN Equity,INE007A01025
CRPBK IN Equity,INE112A01023
CSTRL IN Equity,INE172A01027
CU IN Equity,INE120A01034
CUBK IN Equity,INE491A01021
CYL IN Equity,INE136B01020
DABUR IN Equity,INE016A01026
DBNK IN Equity,INE077A01010
DCB IN Equity,INE495A01022
DCIL IN Equity,INE506A01018
HKCI IN Equity,INE475B01022
HLV IN Equity,INE102A01024
HM IN Equity,INE253A01025
HMCL IN Equity,INE158A01026
HMFC IN Equity,INE548A01028
HMT IN Equity,INE262A01018
HNDL IN Equity,INE038A01020
HOE IN Equity,INE345A01011
HPCL IN Equity,INE094A01015
HRM IN Equity,INE544A01019
ACC IN Equity,INE012A01025
ACEM IN Equity,INE079A01024
ADE IN Equity,INE423A01024
ADSEZ IN Equity,INE742F01042
ADV IN Equity,INE517H01028
AFTK IN Equity,INE796A01023
AGIG IN Equity,INE415A01038
AGLL IN Equity,INE418H01029
AHOT IN Equity,INE363A01022
AISG IN Equity,INE439A01020
MMFS IN Equity,INE774D01024
MOFS IN Equity,INE338I01027
MOTHERSO IN Equity,INE775A01035
MPHL IN Equity,INE356A01018
MRCO IN Equity,INE196A01026
MRF IN Equity,INE883A01011
MRL IN Equity,INE178A01016
MRLN IN Equity,INE934B01028
MRPL IN Equity,INE103A01014
MRZI IN Equity,INE771A01026
APIL IN Equity,INE436A01026
APNT IN Equity,INE021A01026
APTR IN Equity,INE266F01018
APTY IN Equity,INE438A01022
ARBP IN Equity,INE406A01037
ARCP IN Equity,INE242C01024
ARENM IN Equity,INE885A01032
ARTO IN Equity,INE769A01020
ARVND IN Equity,INE034A01011
ASEL IN Equity,INE441A01026
ASG IN Equity,INE715B01021
ASTR IN Equity,INE203A01020
ATFL IN Equity,INE209A01019
ATLP IN Equity,INE100A01010
ATXL IN Equity,INE449A01011
AWL IN Equity,INE045A01017
AXSB IN Equity,INE238A01034
BAF IN Equity,INE296A01024
BASF IN Equity,INE373A01013
BATA IN Equity,INE176A01028
GP IN Equity,INE260B01028
GRASIM IN Equity,INE047A01021
GRDN IN Equity,INE526A01016
GRIL IN Equity,INE371A01025
GRV IN Equity,INE224A01026
GSFC IN Equity,INE026A01025
GTLI IN Equity,INE221H01019
GTS IN Equity,INE043A01012
GUJS IN Equity,INE246F01010
GVKP IN Equity,INE251H01024
MSIL IN Equity,INE585B01010
MTCL IN Equity,INE018I01017
MTNL IN Equity,INE153A01019
MUS IN Equity,INE850A01010
NACL IN Equity,INE139A01034
NAVA IN Equity,INE725A01022
NDTV IN Equity,INE155G01029
NELCO IN Equity,INE045B01015
NELI IN Equity,INE060A01024
NFCL IN Equity,INE580A01013
ICEM IN Equity,INE383A01012
ICICIBC IN Equity,INE090A01021
IDBI IN Equity,INE008A01015
IDEA IN Equity,INE669E01016
IDFC IN Equity,INE043D01016
IFCI IN Equity,INE039A01010
IGL IN Equity,INE203G01027
IGLY IN Equity,INE560A01015
IH IN Equity,INE053A01029
IIB IN Equity,INE095A01012
BILT IN Equity,INE294A01037
BIOS IN Equity,INE376G01013
BJAUT IN Equity,INE917I01010
BJFIN IN Equity,INE918I01026
BJH IN Equity,INE306A01021
BJHI IN Equity,INE118A01012
BLCL IN Equity,INE164A01016
BLJT IN Equity,INE794B01026
BLSTR IN Equity,INE472A01039
BNRI IN Equity,INE459A01010
DSIL IN Equity,INE366A01041
DSK IN Equity,INE891A01014
DSM IN Equity,INE041A01016
DYTC IN Equity,INE221B01012
EDEL IN Equity,INE532F01054
EDSL IN Equity,INE216H01027
EID IN Equity,INE126A01031
EIH IN Equity,INE230A01023
EIM IN Equity,INE066A01021
EKCL IN Equity,INE184H01027
ESOIL IN Equity,INE011A01019
ESRS IN Equity,INE282A01024
EVI IN Equity,INE295A01018
EXID IN Equity,INE302A01020
FB IN Equity,INE171A01029
FDCLT IN Equity,INE258B01022
FEL IN Equity,INE623B01027
FKOL IN Equity,INE575G01010
FLSG IN Equity,INE492B01019
FMGI IN Equity,INE529A01010
CAFL IN Equity,INE688I01017
CAIR IN Equity,INE910H01017
CANF IN Equity,INE477A01020
CAST IN Equity,INE068D01021
CBK IN Equity,INE476A01022
CCRI IN Equity,INE111A01025
CDFH IN Equity,INE025A01027
CENK IN Equity,INE485A01015
CESC IN Equity,INE486A01021
CGPOWER IN Equity,INE067A01029
KKC IN Equity,INE298A01020
KKIL IN Equity,INE250A01039
KMB IN Equity,INE237A01028
KNPL IN Equity,INE531A01024
KPIL IN Equity,INE220B01022
KSB IN Equity,INE999A01023
KSI IN Equity,INE087A01019
KSO IN Equity,INE727D01022
KUTN IN Equity,INE406I01014
KVB IN Equity,INE036D01028
FNXC IN Equity,INE235A01022
FNXP IN Equity,INE183A01024
FORH IN Equity,INE061F01013
FSOL IN Equity,INE684F01012
GAEX IN Equity,INE036B01030
GAIL IN Equity,INE129A01019
GALK IN Equity,INE186A01019
GCPL IN Equity,INE102D01028
GDPL IN Equity,INE852F01015
GDSP IN Equity,INE233A01035
IIFL IN Equity,INE530B01024
INFO IN Equity,INE009A01021
INFOE IN Equity,INE663F01024
INGR IN Equity,INE177A01018
INOL IN Equity,INE312H01016
IOB IN Equity,INE565A01014
IOCL IN Equity,INE242A01010
IPCA IN Equity,INE571A01038
IPMC IN Equity,INE681B01017
IRB IN Equity,INE821I01022
ZYDUSLIF IN Equity,INE010B01027
NTPC IN Equity,INE733E01010
OAXE IN Equity,INE800H01010
OBC IN Equity,INE141A01014
OFSS IN Equity,INE881D01027
OMAX IN Equity,INE090B01011
ONGC IN Equity,INE213A01029
OPI IN Equity,INE592A01026
ORCP IN Equity,INE191A01027
OSWALGRE IN Equity,INE143A01010
OTH IN Equity,INE750A01020
PARSV IN Equity,INE561H01026
PATANJAL IN Equity,INE619A01035
PATNI IN Equity,INE660F01012
PEC IN Equity,INE244B01030
PFIZ IN Equity,INE182A01018
PG IN Equity,INE179A01014
PGHL IN Equity,INE199A01012
PGIL IN Equity,INE940H01022
PGLT IN Equity,INE859A01011
PHNX IN Equity,INE211B01039
SHOP IN Equity,INE498B01024
SHRS IN Equity,INE087H01022
SI IN Equity,INE195A01028
SIB IN Equity,INE683A01023
SIEM IN Equity,INE003A01024
SINF IN Equity,INE059B01024
SINT IN Equity,INE429C01035
SJC IN Equity,INE633A01028
SKB IN Equity,INE264A01014
SKF IN Equity,INE640A01023
SKNL IN Equity,INE772A01016
SLT IN Equity,INE324C01038
SNDB IN Equity,INE667A01018
SOBHA IN Equity,INE671H01015
SOTL IN Equity,INE089C01029
SPPM IN Equity,INE202C01010
SPPT IN Equity,INE663A01033
SRCM IN Equity,INE070A01015
SREI IN Equity,INE872A01014
SRF IN Equity,INE647A01010
SAPH IN Equity,INE317A01028
SARE IN Equity,INE979A01025
SBIN IN Equity,INE062A01020
SCHFL IN Equity,INE513A01022
SCI IN Equity,INE109A01011
SEAM IN Equity,INE497B01018
SF IN Equity,INE387A01021
SG IN Equity,INE631A01022
SHDSL IN Equity,INE178C01020
SHFL IN Equity,INE721A01013
NFL IN Equity,INE870D01012
NIIT IN Equity,INE161A01038
NILK IN Equity,INE310A01015
NIRMA IN Equity,INE091A01029
NJCC IN Equity,INE868B01028
NLC IN Equity,INE589A01014
NMDC IN Equity,INE584A01023
NML IN Equity,INE747B01016
NRBBR IN Equity,INE349A01021
NTB IN Equity,INE781B01015
PSLL IN Equity,INE474B01017
PTCIN IN Equity,INE877F01012
PUNJ IN Equity,INE701B01021
PURVA IN Equity,INE323I01011
PVPV IN Equity,INE362A01016
PWGR IN Equity,INE752E01010
RAI IN Equity,INE209B01025
RALI IN Equity,INE613A01020
RAMCO IN Equity,INE614A01028
RBXY IN Equity,INE015A01028
PIDI IN Equity,INE318A01026
PIEL IN Equity,INE140A01024
PLNG IN Equity,INE347G01014
PNB IN Equity,INE160A01022
PNCB IN Equity,INE922B01023
POL IN Equity,INE763A01023
POWF IN Equity,INE134E01011
PRIC IN Equity,INE605A01026
PRJ IN Equity,INE074A01025
PRSMJ IN Equity,INE010A01011
RIIL IN Equity,INE046A01015
RJEX IN Equity,INE343B01030
RLTA IN Equity,INE293A01013
RMCS IN Equity,INE246B01019
RMW IN Equity,INE540B01015
RNR IN Equity,INE328H01012
RPWR IN Equity,INE614G01033
RW IN Equity,INE301A01014
SAIL IN Equity,INE114A01011
SANL IN Equity,INE058A01010
TPWR IN Equity,INE245A01021
TRCL IN Equity,INE331A01037
TRE IN Equity,INE256C01024
TRENT IN Equity,INE849A01020
TRID IN Equity,INE064C01022
TRP IN Equity,INE685A01028
TTAN IN Equity,INE280A01028
TTCH IN Equity,INE092A01019
TTMT IN Equity,INE155A01022
TTSL IN Equity,INE122H01027
TECHM IN Equity,INE669C01036
TELX IN Equity,INE670A01012
TFCI IN Equity,INE305A01015
TICL IN Equity,INE672A01018
TLEI IN Equity,INE889A01026
TML IN Equity,INE056C01010
TMX IN Equity,INE152A01029
TNNP IN Equity,INE107A01015
TNPP IN Equity,INE148A01019
TPW IN Equity,INE813H01021
SSOF IN Equity,INE269A01021
STC IN Equity,INE655A01013
STLT IN Equity,INE268A01049
STR IN Equity,INE939A01011
STSG IN Equity,INE623A01011
SUEL IN Equity,INE040H01021
SUF IN Equity,INE660A01013
SUNP IN Equity,INE044A01036
SUNTV IN Equity,INE424H01027
SWE IN Equity,INE277A01016
SYR IN Equity,INE335A01020
TAJG IN Equity,INE586B01026
TATA IN Equity,INE081A01020
TATACONS IN Equity,INE192A01025
TATASLPL IN Equity,INE674A01014
TATASTL IN Equity,INE824B01021
TC IN Equity,INE332A01027
TCO IN Equity,INE493A01027
TCOM IN Equity,INE151A01013
TCS IN Equity,INE467B01029
RCAPT IN Equity,INE013A01015
RCF IN Equity,INE027A01015
RCOM IN Equity,INE330H01018
RDCK IN Equity,INE944F01028
RECL IN Equity,INE020B01018
REDI IN Equity,INE891D01026
REIA IN Equity,INE385B01031
RELG IN Equity,INE621H01010
RELI IN Equity,INE036A01016
RELIANCE IN Equity,INE002A01018
TV18 IN Equity,INE886H01027
TVSL IN Equity,INE494B01023
TVTN IN Equity,INE038F01029
UBBL IN Equity,INE686F01025
UCO IN Equity,INE691A01018
UFLX IN Equity,INE516A01017
UIP IN Equity,INE466H01028
UL IN Equity,INE351A01035
UNBK IN Equity,INE692A01016
UNITDSPR IN Equity,INE854D01024
VJYBK IN Equity,INE705A01016
VOLT IN Equity,INE226A01021
VREL IN Equity,INE945H01013
VRNS IN Equity,INE702A01013
VST IN Equity,INE710A01016
VTEX IN Equity,INE825A01020
VYSB IN Equity,INE166A01011
WCPM IN Equity,INE976A01021
WH IN Equity,INE398A01010
WLCO IN Equity,INE191B01025
WPL IN Equity,INE049B01025
WPRO IN Equity,INE075A01022
WYH IN Equity,INE378A01012
YES IN Equity,INE528G01035
Z IN Equity,INE256A01028
ZDC IN Equity,INE206B01013
ZEEN IN Equity,INE966H01019
ZENT IN Equity,INE520A01027
ZNDU IN Equity,INE719A01017
ZUARIIND IN Equity,INE217A01012
UPLL IN Equity,INE628A01036
USM IN Equity,INE228A01035
UT IN Equity,INE694A01020
UTCEM IN Equity,INE481G01011
UTTM IN Equity,INE699A01011
UTV IN Equity,INE507B01022
VCLF IN Equity,INE703A01011
VEDL IN Equity,INE205A01025
VI IN Equity,INE386A01015
VIP IN Equity,INE054A01027
III IN Equity,INE748C01038
PENL IN Equity,INE138A01028
BRGD IN Equity,INE791I01019
BNCO IN Equity,INE213C01025
ADANI IN Equity,INE814H01011
KARG IN Equity,INE299C01024
AJRINFRA IN Equity,INE181G01025
BINC IN Equity,INE042H01019
NHPC IN Equity,INE848E01016
OINL IN Equity,INE274J01014
SWH IN Equity,INE824G01012
JSW IN Equity,INE121E01018
TPC IN Equity,INE422C01014
DBREALTY IN Equity,INE879I01012
JUBI IN Equity,INE797F01020
JPIN IN Equity,INE099J01015
JPVL IN Equity,INE351F01018
SRIN IN Equity,INE805D01034
HATH IN Equity,INE982F01036
